,Sydney,Melbourne,Perth,Adelaide,Brisbane,Darwin,Canberra,Gold Coast,Hobart,Cairns
Sydney,0,712.97,3290.4,1161.71,732.82,3148.95,246.09,686.36,1057.04,1961.29
Melbourne,712.97,0,2721.74,653.81,1374.43,3148.21,466.89,1345.93,597.77,2324.49
Perth,3290.4,2721.74,0,2131.23,3606.17,2653.25,3088.79,3627.4,3010.29,3441.04
Adelaide,1161.71,653.81,2131.23,0,1600.41,2617.46,958.44,1600.95,1161.53,2124.82
Brisbane,732.82,1374.43,3606.17,1600.41,0,2847.49,943.58,71.31,1789.15,1389.44
Darwin,3148.95,3148.21,2653.25,2617.46,2847.49,0,3133.49,2912.47,3735.97,1679.89
Canberra,246.09,466.89,3088.79,958.44,943.58,3133.49,0,905.61,859.42,2068.32
Gold Coast,686.36,1345.93,3627.4,1600.95,71.31,2912.47,905.61,0,1743.32,1460.75
Hobart,1057.04,597.77,3010.29,1161.53,1789.15,3735.97,859.42,1743.32,0,2890.27
Cairns,1961.29,2324.49,3441.04,2124.82,1389.44,1679.89,2068.32,1460.75,2890.27,0
